Rank;Time;Name;Year;Country;Position;Race;Date;Result score
1;1:46.52;Rynard SWANEPOEL;2002;RSA;3f1;Boston Univ. Track & Tennis Center, Boston, MA (USA) (i);22-Feb-26;1185
1;1:46.52;Emile ELS;08-Jan-09;RSA;1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1128
3;1:46.62;Tiisetso MALUNGANE;15-Jan-10;RSA;2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1125
4;1:46.95;Rynard SWANEPOEL;2002;RSA;2;Ott Center for Track & Field, Philadelphia, PA (USA) (i);07-Mar-26;1171
5;1:47.48;Abednico CHOBA;02-Jul-02;RSA;1f2;Pilditch Stadium, Pretoria (RSA);28-Feb-26;1099
6;1:47.56;Abednico CHOBA;02-Jul-02;RSA;1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1097
7;1:47.82;James SEELIGER;15-Dec-99;RSA;2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1089
8;1:47.90;Jaden DE WET;15-Jun-05;RSA;3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1087
9;1:47.95;Themba MADIMA;04-Apr-89;RSA;4;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1085
10;1:48.09;Migael LOUBSER;12-Apr-02;RSA;5;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1081
11;1:48.10;Rynard SWANEPOEL;2002;RSA;5f1;JDL Fast Track, Winston Salem, NC (USA) (i);14-Feb-26;1137
12;1:48.11;Ranti Marvin DIKGALE;12-Jul-87;RSA;6;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1081
13;1:48.14;Ranti Marvin DIKGALE;12-Jul-87;RSA;3f2;Pilditch Stadium, Pretoria (RSA);28-Feb-26;1080
14;1:48.29;Ranti Marvin DIKGALE;12-Jul-87;RSA;1h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1075
15;1:48.30;Themba MADIMA;04-Apr-89;RSA;2h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1075
16;1:48.55;Dumisani MOTLOUNG;07-Mar-05;RSA;1;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1068
17;1:48.58;Christopher SWART;19-Apr-00;RSA;1f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;1067
18;1:48.62;Kwazi NOGCANTSI;17-Jan-00;RSA;7;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1066
19;1:48.70;Christiaan FRANKEN;03-Oct-07;RSA;1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1063
